Currency,Date,Rate
AED,2021-04-14,0.272294
ARS,2021-04-14,0.0107964
AUD,2021-04-14,0.7679963000000001
BRL,2021-04-14,0.1748939
CAD,2021-04-14,0.7964458000000001
CHF,2021-04-14,1.086789
CZK,2021-04-14,0.0461417
DKK,2021-04-14,0.1608371
ETB,2021-04-14,0.0241665
EUR,2021-04-14,1.196
GBP,2021-04-14,1.3784
GHS,2021-04-14,0.17306229999999995
ILS,2021-04-14,0.30394829999999995
INR,2021-04-14,0.01330259
JPY,2021-04-14,0.00917548
KES,2021-04-14,0.00936334
MAD,2021-04-14,0.11193
MUR,2021-04-14,0.0246022
MWK,2021-04-14,0.0012727
MXN,2021-04-14,0.049738199999999996
MYR,2021-04-14,0.2421347
NGN,2021-04-14,0.002631578947
NOK,2021-04-14,0.1184214
NZD,2021-04-14,0.7095832
PEN,2021-04-14,0.275077
PLN,2021-04-14,0.26260170000000005
RUB,2021-04-14,0.01321682
RWF,2021-04-14,0.00102209
SAR,2021-04-14,0.266667
SEK,2021-04-14,0.1179069
SGD,2021-04-14,0.748025
sll,2021-04-14,9.782200000000001e-05
THB,2021-04-14,0.03186
TZS,2021-04-14,0.00043117
UGX,2021-04-14,0.00027692900000000003
USD,2021-04-14,1.0
XAF,2021-04-14,0.00182451
XOF,2021-04-14,0.00182451
ZAR,2021-04-14,0.068899
ZMK,2021-04-14,0.0450926
ZMW,2021-04-14,0.0450926
AED,2021-04-15,0.272294
ARS,2021-04-15,0.01079137
AUD,2021-04-15,0.7750779999999999
BRL,2021-04-15,0.17684
CAD,2021-04-15,0.8006502
CHF,2021-04-15,1.083491
CZK,2021-04-15,0.0461434
DKK,2021-04-15,0.1610396
ETB,2021-04-15,0.0241785
EUR,2021-04-15,1.1981
GBP,2021-04-15,1.3795
GHS,2021-04-15,0.173025
ILS,2021-04-15,0.304739
INR,2021-04-15,0.013328399999999999
JPY,2021-04-15,0.00918378
KES,2021-04-15,0.00934315
MAD,2021-04-15,0.111954
MUR,2021-04-15,0.0246791
MWK,2021-04-15,0.00127352
MXN,2021-04-15,0.0499398
MYR,2021-04-15,0.24228070000000002
NGN,2021-04-15,0.002631578947
NOK,2021-04-15,0.11932407
NZD,2021-04-15,0.7170026999999999
PEN,2021-04-15,0.2752112
PLN,2021-04-15,0.26297550000000003
RUB,2021-04-15,0.01301461
RWF,2021-04-15,0.00102218
SAR,2021-04-15,0.266667
SEK,2021-04-15,0.1181749
SGD,2021-04-15,0.7490312
sll,2021-04-15,9.75935e-05
THB,2021-04-15,0.0320357
TZS,2021-04-15,0.000431158
UGX,2021-04-15,0.00027598200000000003
USD,2021-04-15,1.0
XAF,2021-04-15,0.00182583
XOF,2021-04-15,0.00182583
ZAR,2021-04-15,0.069765
ZMK,2021-04-15,0.0450724
ZMW,2021-04-15,0.0450724
AED,2021-04-16,0.272294
ARS,2021-04-16,0.0107845
AUD,2021-04-16,0.774425
BRL,2021-04-16,0.178035
CAD,2021-04-16,0.798912
CHF,2021-04-16,1.08899
CZK,2021-04-16,0.0462592
DKK,2021-04-16,0.161162
ETB,2021-04-16,0.023990900000000003
EUR,2021-04-16,1.1986
GBP,2021-04-16,1.3755
GHS,2021-04-16,0.173178
ILS,2021-04-16,0.30482
INR,2021-04-16,0.013447899999999999
JPY,2021-04-16,0.00918296
KES,2021-04-16,0.00931191
MAD,2021-04-16,0.11199400000000001
MUR,2021-04-16,0.024634
MWK,2021-04-16,0.00127262
MXN,2021-04-16,0.050136
MYR,2021-04-16,0.242419
NGN,2021-04-16,0.002631578947
NOK,2021-04-16,0.11938800000000001
NZD,2021-04-16,0.716123
PEN,2021-04-16,0.275746
PLN,2021-04-16,0.263811
RUB,2021-04-16,0.013233100000000001
RWF,2021-04-16,0.00100021
SAR,2021-04-16,0.266667
SEK,2021-04-16,0.118708
SGD,2021-04-16,0.749384
sll,2021-04-16,9.760440000000001e-05
THB,2021-04-16,0.031977
TZS,2021-04-16,0.00043123
UGX,2021-04-16,0.000276129
USD,2021-04-16,1.0
XAF,2021-04-16,0.00182727
XOF,2021-04-16,0.00182727
ZAR,2021-04-16,0.07022460000000001
ZMK,2021-04-16,0.0450791
ZMW,2021-04-16,0.0450791
AED,2021-04-17,0.272294
ARS,2021-04-17,0.0107845
AUD,2021-04-17,0.774425
BRL,2021-04-17,0.178035
CAD,2021-04-17,0.798912
CHF,2021-04-17,1.08899
CZK,2021-04-17,0.0462592
DKK,2021-04-17,0.161162
ETB,2021-04-17,0.023990900000000003
EUR,2021-04-17,1.1986
GBP,2021-04-17,1.3755
GHS,2021-04-17,0.173178
ILS,2021-04-17,0.30482
INR,2021-04-17,0.013447899999999999
JPY,2021-04-17,0.00918296
KES,2021-04-17,0.00931191
MAD,2021-04-17,0.11199400000000001
MUR,2021-04-17,0.024634
MWK,2021-04-17,0.00127262
MXN,2021-04-17,0.050136
MYR,2021-04-17,0.242419
NGN,2021-04-17,0.002631578947
NOK,2021-04-17,0.11938800000000001
NZD,2021-04-17,0.716123
PEN,2021-04-17,0.275746
PLN,2021-04-17,0.263811
RUB,2021-04-17,0.013233100000000001
RWF,2021-04-17,0.00100021
SAR,2021-04-17,0.266667
SEK,2021-04-17,0.118708
SGD,2021-04-17,0.749384
sll,2021-04-17,9.760440000000001e-05
THB,2021-04-17,0.031977
TZS,2021-04-17,0.00043123
UGX,2021-04-17,0.000276129
USD,2021-04-17,1.0
XAF,2021-04-17,0.00182727
XOF,2021-04-17,0.00182727
ZAR,2021-04-17,0.07022460000000001
ZMK,2021-04-17,0.0450791
ZMW,2021-04-17,0.0450791
AED,2021-04-18,0.272294
ARS,2021-04-18,0.0107845
AUD,2021-04-18,0.774425
BRL,2021-04-18,0.178035
CAD,2021-04-18,0.798912
CHF,2021-04-18,1.08899
CZK,2021-04-18,0.0462592
DKK,2021-04-18,0.161162
ETB,2021-04-18,0.023990900000000003
EUR,2021-04-18,1.1986
GBP,2021-04-18,1.3755
GHS,2021-04-18,0.173178
ILS,2021-04-18,0.30482
INR,2021-04-18,0.013447899999999999
JPY,2021-04-18,0.00918296
KES,2021-04-18,0.00931191
MAD,2021-04-18,0.11199400000000001
MUR,2021-04-18,0.024634
MWK,2021-04-18,0.00127262
MXN,2021-04-18,0.050136
MYR,2021-04-18,0.242419
NGN,2021-04-18,0.002631578947
NOK,2021-04-18,0.11938800000000001
NZD,2021-04-18,0.716123
PEN,2021-04-18,0.275746
PLN,2021-04-18,0.263811
RUB,2021-04-18,0.013233100000000001
RWF,2021-04-18,0.00100021
SAR,2021-04-18,0.266667
SEK,2021-04-18,0.118708
SGD,2021-04-18,0.749384
sll,2021-04-18,9.760440000000001e-05
THB,2021-04-18,0.031977
TZS,2021-04-18,0.00043123
UGX,2021-04-18,0.000276129
USD,2021-04-18,1.0
XAF,2021-04-18,0.00182727
XOF,2021-04-18,0.00182727
ZAR,2021-04-18,0.07022460000000001
ZMK,2021-04-18,0.0450791
ZMW,2021-04-18,0.0450791
AED,2021-04-19,0.272294
ARS,2021-04-19,0.010809200000000001
AUD,2021-04-19,0.7764439999999999
BRL,2021-04-19,0.1788254
CAD,2021-04-19,0.800859
CHF,2021-04-19,1.090641
CZK,2021-04-19,0.0463699
DKK,2021-04-19,0.16159520000000002
ETB,2021-04-19,0.023895
EUR,2021-04-19,1.20175
GBP,2021-04-19,1.3873
GHS,2021-04-19,0.17280910000000002
ILS,2021-04-19,0.305562
INR,2021-04-19,0.013356100000000001
JPY,2021-04-19,0.00924898
KES,2021-04-19,0.0092839
MAD,2021-04-19,0.1116586
MUR,2021-04-19,0.0247272
MWK,2021-04-19,0.001273
MXN,2021-04-19,0.0503751
MYR,2021-04-19,0.242423
NGN,2021-04-19,0.002631578947
